eta, f, f_linha, f_duas_linhas
7.1000, 5.379232, 0.999941, 0.000169
7.1100, 5.389232, 0.999943, 0.000164
7.1200, 5.399231, 0.999944, 0.000160
7.1300, 5.409230, 0.999946, 0.000156
7.1400, 5.419230, 0.999947, 0.000151
7.1500, 5.429229, 0.999949, 0.000147
7.1600, 5.439229, 0.999950, 0.000143
7.1700, 5.449228, 0.999952, 0.000140
7.1800, 5.459228, 0.999953, 0.000136
7.1900, 5.469228, 0.999954, 0.000132
7.2000, 5.479227, 0.999956, 0.000129
7.2100, 5.489227, 0.999957, 0.000125
7.2200, 5.499226, 0.999958, 0.000122
7.2300, 5.509226, 0.999959, 0.000118
7.2400, 5.519225, 0.999961, 0.000115
7.2500, 5.529225, 0.999962, 0.000112
7.2600, 5.539225, 0.999963, 0.000109
7.2700, 5.549224, 0.999964, 0.000106
7.2800, 5.559224, 0.999965, 0.000103
7.2900, 5.569224, 0.999966, 0.000100
7.3000, 5.579223, 0.999967, 0.000098
7.3100, 5.589223, 0.999968, 0.000095
7.3200, 5.599223, 0.999969, 0.000092
7.3300, 5.609222, 0.999970, 0.000090
7.3400, 5.619222, 0.999971, 0.000087
7.3500, 5.629222, 0.999972, 0.000085
7.3600, 5.639221, 0.999972, 0.000082
7.3700, 5.649221, 0.999973, 0.000080
7.3800, 5.659221, 0.999974, 0.000078
7.3900, 5.669221, 0.999975, 0.000076
7.4000, 5.679220, 0.999975, 0.000074
7.4100, 5.689220, 0.999976, 0.000072
7.4200, 5.699220, 0.999977, 0.000070
7.4300, 5.709220, 0.999978, 0.000068
7.4400, 5.719219, 0.999978, 0.000066
7.4500, 5.729219, 0.999979, 0.000064
7.4600, 5.739219, 0.999980, 0.000062
7.4700, 5.749219, 0.999980, 0.000060
7.4800, 5.759219, 0.999981, 0.000059
7.4900, 5.769218, 0.999981, 0.000057
7.5000, 5.779218, 0.999982, 0.000055
7.5100, 5.789218, 0.999982, 0.000054
7.5200, 5.799218, 0.999983, 0.000052
7.5300, 5.809218, 0.999983, 0.000051
7.5400, 5.819218, 0.999984, 0.000049
7.5500, 5.829217, 0.999984, 0.000048
7.5600, 5.839217, 0.999985, 0.000046
7.5700, 5.849217, 0.999985, 0.000045
7.5800, 5.859217, 0.999986, 0.000044
7.5900, 5.869217, 0.999986, 0.000043
7.6000, 5.879217, 0.999987, 0.000041
7.6100, 5.889217, 0.999987, 0.000040
7.6200, 5.899216, 0.999987, 0.000039
7.6300, 5.909216, 0.999988, 0.000038
7.6400, 5.919216, 0.999988, 0.000037
7.6500, 5.929216, 0.999989, 0.000036
7.6600, 5.939216, 0.999989, 0.000035
7.6700, 5.949216, 0.999989, 0.000034
7.6800, 5.959216, 0.999990, 0.000033
7.6900, 5.969216, 0.999990, 0.000032
7.7000, 5.979216, 0.999990, 0.000031
7.7100, 5.989215, 0.999991, 0.000030
7.7200, 5.999215, 0.999991, 0.000029
7.7300, 6.009215, 0.999991, 0.000028
7.7400, 6.019215, 0.999991, 0.000027
7.7500, 6.029215, 0.999992, 0.000026
7.7600, 6.039215, 0.999992, 0.000026
7.7700, 6.049215, 0.999992, 0.000025
7.7800, 6.059215, 0.999992, 0.000024
7.7900, 6.069215, 0.999993, 0.000023
7.8000, 6.079215, 0.999993, 0.000023
7.8100, 6.089215, 0.999993, 0.000022
7.8200, 6.099215, 0.999993, 0.000021
7.8300, 6.109215, 0.999994, 0.000021
7.8400, 6.119214, 0.999994, 0.000020
7.8500, 6.129214, 0.999994, 0.000019
7.8600, 6.139214, 0.999994, 0.000019
7.8700, 6.149214, 0.999994, 0.000018
7.8800, 6.159214, 0.999995, 0.000018
7.8900, 6.169214, 0.999995, 0.000017
7.9000, 6.179214, 0.999995, 0.000017
7.9100, 6.189214, 0.999995, 0.000016
7.9200, 6.199214, 0.999995, 0.000016
7.9300, 6.209214, 0.999995, 0.000015
7.9400, 6.219214, 0.999996, 0.000015
7.9500, 6.229214, 0.999996, 0.000014
7.9600, 6.239214, 0.999996, 0.000014
7.9700, 6.249214, 0.999996, 0.000013
7.9800, 6.259214, 0.999996, 0.000013
7.9900, 6.269214, 0.999996, 0.000013
8.0000, 6.279214, 0.999996, 0.000012
8.0100, 6.289214, 0.999996, 0.000012
8.0200, 6.299214, 0.999997, 0.000011
8.0300, 6.309214, 0.999997, 0.000011
8.0400, 6.319214, 0.999997, 0.000011
