x y f
-0.6818 -0.8232 -2.0613
-0.6364 -0.8232 -1.9854
-0.5909 -0.8232 -1.9135
-0.5455 -0.8232 -1.8458
-0.5000 -0.8232 -1.7822
-0.4545 -0.8232 -1.7227
-0.4091 -0.8232 -1.6674
-0.3636 -0.8232 -1.6162
-0.3182 -0.8232 -1.5692
-0.2727 -0.8232 -1.5262
-0.2273 -0.8232 -1.4874
-0.1818 -0.8232 -1.4528
-0.1364 -0.8232 -1.4222
-0.0909 -0.8232 -1.3958
-0.0455 -0.8232 -1.3736
0.0000 -0.8232 -1.3554
0.0455 -0.8232 -1.3414
0.0909 -0.8232 -1.3315
0.1364 -0.8232 -1.3258
0.1818 -0.8232 -1.3242
0.2273 -0.8232 -1.3267
0.2727 -0.8232 -1.3334
0.3182 -0.8232 -1.3442
0.3636 -0.8232 -1.3591
0.4091 -0.8232 -1.3782
0.4545 -0.8232 -1.4013
0.5000 -0.8232 -1.4287
0.5455 -0.8232 -1.4601
0.5909 -0.8232 -1.4957
0.6364 -0.8232 -1.5354
0.6818 -0.8232 -1.5793
0.7273 -0.8232 -1.6272
0.7727 -0.8232 -1.6793
0.8182 -0.8232 -1.7356
0.8636 -0.8232 -1.7960
0.9091 -0.8232 -1.8605
0.9545 -0.8232 -1.9291
1.0000 -0.8232 -2.0019
1.0455 -0.8232 -2.0788
1.0909 -0.8232 -2.1598
1.1364 -0.8232 -2.2450
1.1818 -0.8232 -2.3343
1.2273 -0.8232 -2.4277
1.2727 -0.8232 -2.5253
1.3182 -0.8232 -2.6270
1.3636 -0.8232 -2.7328
1.4091 -0.8232 -2.8428
1.4545 -0.8232 -2.9569
1.5000 -0.8232 -3.0751
1.5455 -0.8232 -3.1975
1.5909 -0.8232 -3.3240
1.6364 -0.8232 -3.4546
1.6818 -0.8232 -3.5894
1.7273 -0.8232 -3.7282
1.7727 -0.8232 -3.8713
1.8182 -0.8232 -4.0184
1.8636 -0.8232 -4.1697
1.9091 -0.8232 -4.3251
1.9545 -0.8232 -4.4847
2.0000 -0.8232 -4.6484
2.0455 -0.8232 -4.8162
2.0909 -0.8232 -4.9881
2.1364 -0.8232 -5.1642
2.1818 -0.8232 -5.3444
2.2273 -0.8232 -5.5287
2.2727 -0.8232 -5.7172
2.3182 -0.8232 -5.9098
2.3636 -0.8232 -6.1066
2.4091 -0.8232 -6.3074
2.4545 -0.8232 -6.5124
2.5000 -0.8232 -6.7216
2.5455 -0.8232 -6.9349
2.5909 -0.8232 -7.1523
2.6364 -0.8232 -7.3738
2.6818 -0.8232 -7.5995
2.7273 -0.8232 -7.8293
2.7727 -0.8232 -8.0632
2.8182 -0.8232 -8.3012
2.8636 -0.8232 -8.5434
2.9091 -0.8232 -8.7898
2.9545 -0.8232 -9.0402
3.0000 -0.8232 -9.2948
3.0455 -0.8232 -9.5535
3.0909 -0.8232 -9.8164
3.1364 -0.8232 -10.0834
3.1818 -0.8232 -10.3545
3.2273 -0.8232 -10.6298
3.2727 -0.8232 -10.9091
3.3182 -0.8232 -11.1927
3.3636 -0.8232 -11.4803
3.4091 -0.8232 -11.7721
3.4545 -0.8232 -12.0680
3.5000 -0.8232 -12.3680
-1.0000 -0.7879 -2.6657
-0.9545 -0.7879 -2.5576
-0.9091 -0.7879 -2.4536
-0.8636 -0.7879 -2.3538
-0.8182 -0.7879 -2.2580
-0.7727 -0.7879 -2.1664
-0.7273 -0.7879 -2.0790
-0.6818 -0.7879 -1.9956
-0.6364 -0.7879 -1.9164
-0.5909 -0.7879 -1.8414
-0.5455 -0.7879 -1.7704
-0.5000 -0.7879 -1.7036
-0.4545 -0.7879 -1.6410
-0.4091 -0.7879 -1.5824
-0.3636 -0.7879 -1.5280
-0.3182 -0.7879 -1.4777
-0.2727 -0.7879 -1.4316
-0.2273 -0.7879 -1.3896
-0.1818 -0.7879 -1.3517
-0.1364 -0.7879 -1.3180
-0.0909 -0.7879 -1.2883
-0.0455 -0.7879 -1.2629
0.0000 -0.7879 -1.2415
0.0455 -0.7879 -1.2243
0.0909 -0.7879 -1.2112
0.1364 -0.7879 -1.2022
0.1818 -0.7879 -1.1974
0.2273 -0.7879 -1.1967
0.2727 -0.7879 -1.2002
0.3182 -0.7879 -1.2078
0.3636 -0.7879 -1.2195
0.4091 -0.7879 -1.2353
0.4545 -0.7879 -1.2553
0.5000 -0.7879 -1.2794
0.5455 -0.7879 -1.3076
0.5909 -0.7879 -1.3400
0.6364 -0.7879 -1.3765
0.6818 -0.7879 -1.4171
0.7273 -0.7879 -1.4619
0.7727 -0.7879 -1.5108
0.8182 -0.7879 -1.5638
0.8636 -0.7879 -1.6210
0.9091 -0.7879 -1.6823
0.9545 -0.7879 -1.7477
1.0000 -0.7879 -1.8173
1.0455 -0.7879 -1.8910
1.0909 -0.7879 -1.9688
1.1364 -0.7879 -2.0507
1.1818 -0.7879 -2.1368
1.2273 -0.7879 -2.2270
1.2727 -0.7879 -2.3214
1.3182 -0.7879 -2.4199
1.3636 -0.7879 -2.5225
1.4091 -0.7879 -2.6292
1.4545 -0.7879 -2.7401
1.5000 -0.7879 -2.8551
1.5455 -0.7879 -2.9743
1.5909 -0.7879 -3.0976
1.6364 -0.7879 -3.2250
1.6818 -0.7879 -3.3565
1.7273 -0.7879 -3.4922
1.7727 -0.7879 -3.6320
1.8182 -0.7879 -3.7759
1.8636 -0.7879 -3.9240
1.9091 -0.7879 -4.0762
1.9545 -0.7879 -4.2326
2.0000 -0.7879 -4.3930
2.0455 -0.7879 -4.5576
2.0909 -0.7879 -4.7264
2.1364 -0.7879 -4.8992
2.1818 -0.7879 -5.0762
2.2273 -0.7879 -5.2573
2.2727 -0.7879 -5.4426
2.3182 -0.7879 -5.6320
2.3636 -0.7879 -5.8255
2.4091 -0.7879 -6.0232
2.4545 -0.7879 -6.2250
2.5000 -0.7879 -6.4309
2.5455 -0.7879 -6.6410
2.5909 -0.7879 -6.8551
2.6364 -0.7879 -7.0735
2.6818 -0.7879 -7.2959
2.7273 -0.7879 -7.5225
2.7727 -0.7879 -7.7532
2.8182 -0.7879 -7.9881
2.8636 -0.7879 -8.2270
2.9091 -0.7879 -8.4702
2.9545 -0.7879 -8.7174
3.0000 -0.7879 -8.9688
3.0455 -0.7879 -9.2243
3.0909 -0.7879 -9.4839
3.1364 -0.7879 -9.7477
3.1818 -0.7879 -10.0156
3.2273 -0.7879 -10.2876
3.2727 -0.7879 -10.5638
3.3182 -0.7879 -10.8441
3.3636 -0.7879 -11.1286
3.4091 -0.7879 -11.4171
3.4545 -0.7879 -11.7098
3.5000 -0.7879 -12.0067
-1.0000 -0.7525 -2.6275
-0.9545 -0.7525 -2.5162
-0.9091 -0.7525 -2.4090
-0.8636 -0.7525 -2.3059
-0.8182 -0.7525 -2.2070
-0.7727 -0.7525 -2.1122
-0.7273 -0.7525 -2.0215
-0.6818 -0.7525 -1.9349
-0.6364 -0.7525 -1.8525
-0.5909 -0.7525 -1.7742
-0.5455 -0.7525 -1.7001
-0.5000 -0.7525 -1.6301
-0.4545 -0.7525 -1.5642
-0.4091 -0.7525 -1.5024
-0.3636 -0.7525 -1.4448
-0.3182 -0.7525 -1.3913
-0.2727 -0.7525 -1.3420
-0.2273 -0.7525 -1.2967
-0.1818 -0.7525 -1.2556
-0.1364 -0.7525 -1.2187
-0.0909 -0.7525 -1.1858
-0.0455 -0.7525 -1.1572
0.0000 -0.7525 -1.1326
0.0455 -0.7525 -1.1122
0.0909 -0.7525 -1.0959
0.1364 -0.7525 -1.0837
0.1818 -0.7525 -1.0757
0.2273 -0.7525 -1.0718
0.2727 -0.7525 -1.0720
0.3182 -0.7525 -1.0763
0.3636 -0.7525 -1.0848
0.4091 -0.7525 -1.0975
0.4545 -0.7525 -1.1142
0.5000 -0.7525 -1.1351
0.5455 -0.7525 -1.1601
0.5909 -0.7525 -1.1893
0.6364 -0.7525 -1.2226
0.6818 -0.7525 -1.2600
0.7273 -0.7525 -1.3016
0.7727 -0.7525 -1.3472
0.8182 -0.7525 -1.3971
0.8636 -0.7525 -1.4510
0.9091 -0.7525 -1.5091
0.9545 -0.7525 -1.5713
1.0000 -0.7525 -1.6376
1.0455 -0.7525 -1.7081
1.0909 -0.7525 -1.7827
1.1364 -0.7525 -1.8615
1.1818 -0.7525 -1.9443
1.2273 -0.7525 -2.0313
1.2727 -0.7525 -2.1225
1.3182 -0.7525 -2.2178
1.3636 -0.7525 -2.3172
1.4091 -0.7525 -2.4207
1.4545 -0.7525 -2.5284
1.5000 -0.7525 -2.6402
1.5455 -0.7525 -2.7561
1.5909 -0.7525 -2.8762
1.6364 -0.7525 -3.0004
1.6818 -0.7525 -3.1287
1.7273 -0.7525 -3.2611
1.7727 -0.7525 -3.3977
1.8182 -0.7525 -3.5385
1.8636 -0.7525 -3.6833
1.9091 -0.7525 -3.8323
1.9545 -0.7525 -3.9854
2.0000 -0.7525 -4.1427
2.0455 -0.7525 -4.3041
2.0909 -0.7525 -4.4696
2.1364 -0.7525 -4.6392
2.1818 -0.7525 -4.8130
2.2273 -0.7525 -4.9909
2.2727 -0.7525 -5.1730
2.3182 -0.7525 -5.3592
2.3636 -0.7525 -5.5495
2.4091 -0.7525 -5.7439
2.4545 -0.7525 -5.9425
2.5000 -0.7525 -6.1452
2.5455 -0.7525 -6.3521
2.5909 -0.7525 -6.5630
2.6364 -0.7525 -6.7781
2.6818 -0.7525 -6.9974
2.7273 -0.7525 -7.2207
2.7727 -0.7525 -7.4482
2.8182 -0.7525 -7.6799
2.8636 -0.7525 -7.9156
2.9091 -0.7525 -8.1555
2.9545 -0.7525 -8.3996
3.0000 -0.7525 -8.6477
3.0455 -0.7525 -8.9000
3.0909 -0.7525 -9.1565
3.1364 -0.7525 -9.4170
3.1818 -0.7525 -9.6817
3.2273 -0.7525 -9.9505
3.2727 -0.7525 -10.2235
3.3182 -0.7525 -10.5006
3.3636 -0.7525 -10.7818
3.4091 -0.7525 -11.0672
3.4545 -0.7525 -11.3566
3.5000 -0.7525 -11.6503
-1.0000 -0.7172 -2.5943
-0.9545 -0.7172 -2.4798
-0.9091 -0.7172 -2.3694
-0.8636 -0.7172 -2.2631
-0.8182 -0.7172 -2.1609
-0.7727 -0.7172 -2.0629
-0.7273 -0.7172 -1.9690
-0.6818 -0.7172 -1.8792
-0.6364 -0.7172 -1.7936
-0.5909 -0.7172 -1.7121
-0.5455 -0.7172 -1.6347
